[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002765 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002205 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.258165 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002303 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.805852 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002484 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002701 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002272 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.260569 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002310 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.768502 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002291 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002669 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002330 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.265244 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002372 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.810499 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002332 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002553 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002241 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.253145 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002411 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.790070 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002361 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002689 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002271 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.254051 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002413 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.788588 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002438 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002652 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002249 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.291395 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002424 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.768751 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002386 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002774 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002167 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.286679 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002424 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.784145 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002263 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002564 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002194 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.259681 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002392 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.783429 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002316 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002618 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002234 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.285817 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002404 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.823697 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002420 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002657 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002381 seconds
