[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013679 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.663488 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.014290 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013567 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011617 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.547884 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014971 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.514997 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.015642 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012987 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011300 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.441836 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013914 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.783218 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013642 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012697 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011321 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.402526 seconds
